"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Ltb",2.332536229865,2.41542631415641,10.3870881846328,9.19287889620038e-05,0.000128403257134467,1.64769638056724,2.332536229865,9.19287889620038e-05,0.000128403257134467
"Rgs1",4.50656097385429,4.62713759750994,10.3859531304791,9.19806462347018e-05,0.000128464222802625,1.64704703037895,4.50656097385429,9.19806462347018e-05,0.000128464222802625
"Gpt2",2.50129870212348,3.07551317763127,10.384151194578,9.20630421550605e-05,0.000128567825403158,1.6460160273852,2.50129870212348,9.20630421550605e-05,0.000128567825403158
"Oscp1",1.85371718913023,1.81215756551736,10.3827095938528,9.21290238757242e-05,0.000128648488810221,1.64519107314203,1.85371718913023,9.21290238757242e-05,0.000128648488810221
"Fahd2a",1.09241896707928,1.02903224081654,10.3783279167961,9.2329914407476e-05,0.000128917506973158,1.64268299731214,1.09241896707928,9.2329914407476e-05,0.000128917506973158
"Pik3cg",2.46044747428378,2.27030983448618,10.3763333931984,9.24215299209474e-05,0.000129033913294342,1.64154099789334,2.46044747428378,9.24215299209474e-05,0.000129033913294342
"Trim65",2.71874467371471,2.43294336795947,10.3677689189826,9.28161455681871e-05,0.000129573293411633,1.63663489303315,2.71874467371471,9.28161455681871e-05,0.000129573293411633
"Tmem94",1.60522611177811,1.32715645952041,10.3648421746702,9.29514526322885e-05,0.000129750609347908,1.63495744583728,1.60522611177811,9.29514526322885e-05,0.000129750609347908
"Gm48796",1.09314527154527,0.984102308669907,10.3594585256048,9.32009527447116e-05,0.000130087281112233,1.6318706653388,1.09314527154527,9.32009527447116e-05,0.000130087281112233
"Papln",2.02270024127547,1.82530485042028,10.358815610385,9.32308007362789e-05,0.000130117335883098,1.63150194055017,2.02270024127547,9.32308007362789e-05,0.000130117335883098
"Otulinl",1.84393438639607,1.79684423426093,10.3572507638237,9.33034973925247e-05,0.000130207181592636,1.63060437904036,1.84393438639607,9.33034973925247e-05,0.000130207181592636
"Dhrs13",1.18798988022294,1.03109522377314,10.3566209770402,9.33327736671518e-05,0.000130236422538219,1.63024311097224,1.18798988022294,9.33327736671518e-05,0.000130236422538219
"Bpgm",3.83038494353945,3.77395673912236,10.3542072212619,9.3445079792676e-05,0.000130381507676843,1.62885830222867,3.83038494353945,9.3445079792676e-05,0.000130381507676843
"H3c4",1.18298862845175,1.16790130054771,10.3500833581064,9.36373215129026e-05,0.000130638089072209,1.62649167118861,1.18298862845175,9.36373215129026e-05,0.000130638089072209
"Rad9b",1.10455520419529,0.98612990236243,10.3485820984848,9.3707421218247e-05,0.000130723686289518,1.62562989627106,1.10455520419529,9.3707421218247e-05,0.000130723686289518
"H2-T24",1.91517145036778,1.89376905864923,10.3484116726615,9.37153829751928e-05,0.000130723686289518,1.62553205847593,1.91517145036778,9.37153829751928e-05,0.000130723686289518
"Mks1",1.59577740208818,1.37035395458218,10.3473339747593,9.37657480760208e-05,0.000130782282368622,1.6249133399909,1.59577740208818,9.37657480760208e-05,0.000130782282368622
"A930029G22Rik",1.24839845303696,1.30371505386421,10.343594833469,9.39407403649075e-05,0.000131014679610523,1.62276618377159,1.24839845303696,9.39407403649075e-05,0.000131014679610523
"Slc22a21",1.86395564668549,1.85280010301921,10.3412741521664,9.40495420063512e-05,0.000131154730711646,1.62143319129355,1.86395564668549,9.40495420063512e-05,0.000131154730711646
"Zfp931",1.53059774140991,1.35546169248018,10.3349855470824,9.43451206386335e-05,0.000131555199407711,1.61781961133864,1.53059774140991,9.43451206386335e-05,0.000131555199407711
"Gm14295",1.38560128681372,1.32223943534683,10.3304073850134,9.45609929317513e-05,0.000131844463815027,1.61518758279864,1.38560128681372,9.45609929317513e-05,0.000131844463815027
"Nrgn",4.1889334154829,4.04145112866369,10.3291979975292,9.46181158165832e-05,0.000131912355336591,1.61449211021024,4.1889334154829,9.46181158165832e-05,0.000131912355336591
"Ccn4",1.22659859512249,1.24852082280269,10.328257574802,9.46625628059468e-05,0.000131962564168147,1.61395125572999,1.22659859512249,9.46625628059468e-05,0.000131962564168147
"Ggt7",1.3272240784607,1.22027070141222,10.3267372619578,9.47344690370074e-05,0.000132051039683867,1.61307679716054,1.3272240784607,9.47344690370074e-05,0.000132051039683867
"Mbnl3",1.15848678122023,1.08387025592725,10.3254283572671,9.47964278385253e-05,0.000132125634881736,1.6123238394389,1.15848678122023,9.47964278385253e-05,0.000132125634881736
"9330121J05Rik",1.38033412737783,1.27241083717423,10.3219694255491,9.4960390980009e-05,0.00013234237602914,1.61033362698859,1.38033412737783,9.4960390980009e-05,0.00013234237602914
"Afg1l",1.38747031318861,1.28090338512932,10.3196315517359,9.50714019985256e-05,0.000132485287957336,1.60898809541767,1.38747031318861,9.50714019985256e-05,0.000132485287957336
"Espn",1.58352574580049,1.50718531699491,10.31868222363,9.51165232889317e-05,0.00013253636299423,1.60844164016964,1.58352574580049,9.51165232889317e-05,0.00013253636299423
"Sirt5",1.49881140013743,1.26705423812884,10.313418337064,9.53671724487751e-05,0.000132873788129146,1.60541076187762,1.49881140013743,9.53671724487751e-05,0.000132873788129146
"Bcl7a",2.63873815145337,2.3622880502321,10.3131126712666,9.53817511432538e-05,0.000132882268686755,1.60523471848603,2.63873815145337,9.53817511432538e-05,0.000132882268686755
"Ly6g5b",1.24815261625693,1.24617528656467,10.3089722813249,9.55794853749109e-05,0.00013314589042523,1.60284963994204,1.24815261625693,9.55794853749109e-05,0.00013314589042523
"Hpse",1.16922223877999,1.11784719408918,10.3026986453949,9.58800186758952e-05,0.000133545920554071,1.59923397452232,1.16922223877999,9.58800186758952e-05,0.000133545920554071
"Slc17a9",1.40646508773597,1.36907775731118,10.3026215687708,9.58837178824759e-05,0.000133545920554071,1.59918954024123,1.40646508773597,9.58837178824759e-05,0.000133545920554071
"Nipa1",1.39293858203688,1.20875639315386,10.2988905061075,9.60629872547059e-05,0.000133783697451196,1.59703822563763,1.39293858203688,9.60629872547059e-05,0.000133783697451196
"Fbxo44",1.15848678122023,1.17803492556632,10.2867392844009,9.66495692685815e-05,0.00013458863218962,1.59002677242569,1.15848678122023,9.66495692685815e-05,0.00013458863218962
"Ifit1bl2",1.67354379637965,1.3887846440453,10.2844709788308,9.67595350264725e-05,0.000134729774345457,1.58871705598365,1.67354379637965,9.67595350264725e-05,0.000134729774345457
"Dio2",3.11123430291925,2.54480218782006,10.2793813643793,9.70068124467431e-05,0.000135062069682947,1.5857773259187,3.11123430291925,9.70068124467431e-05,0.000135062069682947
"Tnfrsf13b",1.4119727615736,1.40863954107673,10.2767914110943,9.71329302657475e-05,0.000135225631031888,1.58428085666876,1.4119727615736,9.71329302657475e-05,0.000135225631031888
"Ifitm6",5.9527645435337,5.29940355390908,10.2755357116047,9.71941460786595e-05,0.000135298816638988,1.58355518800984,5.9527645435337,9.71941460786595e-05,0.000135298816638988
