herb,herb_zh,compound_id,target_gene
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Gamma-aminobutyric-acid
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Heat
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Neuronal
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Ig
Danshen,丹参,"1,2,5,6-tetrahydrotanshinone",Nuclear
Danshen,丹参,Poriferasterol,Progesterone
Danshen,丹参,Poriferasterol,Mineralocorticoid
Danshen,丹参,poriferast-5-en-3beta-ol,Progesterone
Danshen,丹参,poriferast-5-en-3beta-ol,Nuclear
Danshen,丹参,isoimperatorin,Prostaglandin
Danshen,丹参,sugiol,Muscarinic
Danshen,丹参,sugiol,Sodium
Danshen,丹参,sugiol,Prostaglandin
Danshen,丹参,sugiol,Carbonic
Danshen,丹参,sugiol,Delta-type
Danshen,丹参,sugiol,Acetylcholinesterase
Danshen,丹参,sugiol,Alpha-1A
Danshen,丹参,sugiol,Alpha-1B
Danshen,丹参,sugiol,Beta-2
Danshen,丹参,sugiol,Alpha-1D
Danshen,丹参,sugiol,D(2)
Danshen,丹参,sugiol,Mu-type
Danshen,丹参,sugiol,Neuronal
Danshen,丹参,Dehydrotanshinone II A,Muscarinic
Danshen,丹参,Dehydrotanshinone II A,Delta-type
Danshen,丹参,Dehydrotanshinone II A,Acetylcholinesterase
Danshen,丹参,Dehydrotanshinone II A,Alpha-1A
Danshen,丹参,Dehydrotanshinone II A,Beta-2
Danshen,丹参,Dehydrotanshinone II A,Mu-type
Danshen,丹参,Dehydrotanshinone II A,Gamma-aminobutyric-acid
Danshen,丹参,Dehydrotanshinone II A,Dipeptidyl
Danshen,丹参,Dehydrotanshinone II A,Neuronal
Danshen,丹参,Dehydrotanshinone II A,Nuclear
Danshen,丹参,Baicalin,Coagulation
Danshen,丹参,Baicalin,Tyrosine-protein
Danshen,丹参,digallate,Prostaglandin
Danshen,丹参,digallate,Aldose
Danshen,丹参,digallate,Heat
Danshen,丹参,luteolin,Prostaglandin
Danshen,丹参,luteolin,Insulin
Danshen,丹参,luteolin,Androgen
Danshen,丹参,luteolin,Tumor
Danshen,丹参,luteolin,Epidermal
Danshen,丹参,luteolin,Dipeptidyl
Danshen,丹参,luteolin,Hepatocyte
Danshen,丹参,luteolin,Interleukin-6
Danshen,丹参,luteolin,Interstitial
Danshen,丹参,luteolin,Mitogen-activated
Danshen,丹参,luteolin,Interferon
Danshen,丹参,luteolin,Transcription
Danshen,丹参,luteolin,Heat
Danshen,丹参,luteolin,"Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,luteolin,Xanthine
Danshen,丹参,luteolin,Cell
Danshen,丹参,luteolin,Cellular
Danshen,丹参,luteolin,Amyloid
Danshen,丹参,luteolin,cAMP-dependent
Danshen,丹参,luteolin,DNA
Danshen,丹参,luteolin,Heme
Danshen,丹参,luteolin,Retinoblastoma-associated
Danshen,丹参,luteolin,Trypsin-1
Danshen,丹参,luteolin,Nuclear
Danshen,丹参,luteolin,Caspase-7
Danshen,丹参,luteolin,Interleukin-2
Danshen,丹参,luteolin,Adenylate
Danshen,丹参,luteolin,Baculoviral
Danshen,丹参,luteolin,Bcl-2-like
Danshen,丹参,luteolin,Caspase-3
Danshen,丹参,luteolin,Caspase-9
Danshen,丹参,luteolin,CD40
Danshen,丹参,luteolin,Cyclin-dependent
Danshen,丹参,luteolin,E3
Danshen,丹参,luteolin,G1/S-specific
Danshen,丹参,luteolin,G2/mitotic-specific
Danshen,丹参,luteolin,Induced
Danshen,丹参,luteolin,Intercellular
Danshen,丹参,luteolin,Interleukin-10
Danshen,丹参,luteolin,Interleukin-4
Danshen,丹参,luteolin,Kinetochore
Danshen,丹参,luteolin,Matrix
Danshen,丹参,luteolin,NF-kappa-B
Danshen,丹参,luteolin,Peroxisome
Danshen,丹参,luteolin,Proliferating
Danshen,丹参,luteolin,RAC-alpha
Danshen,丹参,luteolin,Receptor
Danshen,丹参,luteolin,Solute
Danshen,丹参,luteolin,Tyrosinase
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Prostaglandin
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Muscarinic
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Sodium
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Carbonic
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Retinoic
Danshen,丹参,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",Acetylcholinesterase
